"","isActive","isRookie","namePlayer","idPlayer","countSeasons","nameTeam","namePlayerLastFirst","yearSeasonFirst","yearSeasonLast","slugPlayer","idTeam","cityTeam","teamName","slugTeam","codeTeam","hasGamesPlayedFlag","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","namePlayerLast","namePlayerFirst"
"3328",FALSE,FALSE,"Gene Rock",78001,0,NA,"Rock, Gene",1947,1947,"HISTADD_gene_rock",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/78001","https://stats.nba.com/media/players/230x185/78001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/78001.png","https://stats.nba.com/media/players/700/78001.png","Rock"," Gene"
"3329",FALSE,FALSE,"Jack Rocker",78002,0,NA,"Rocker, Jack",1947,1947,"HISTADD_jack_rocker",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/78002","https://stats.nba.com/media/players/230x185/78002.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/78002.png","https://stats.nba.com/media/players/700/78002.png","Rocker"," Jack"
"3330",FALSE,FALSE,"Guy Rodgers",78003,11,NA,"Rodgers, Guy",1958,1969,"HISTADD_guy_rodgers",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/78003","https://stats.nba.com/media/players/230x185/78003.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/78003.png","https://stats.nba.com/media/players/700/78003.png","Rodgers"," Guy"
"3331",FALSE,FALSE,"Dennis Rodman",23,13,NA,"Rodman, Dennis",1986,1999,"dennis_rodman",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/23","https://stats.nba.com/media/players/230x185/23.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/23.png","https://stats.nba.com/media/players/700/23.png","Rodman"," Dennis"
"3332",FALSE,FALSE,"Sergio Rodriguez",200771,10,NA,"Rodriguez, Sergio",2006,2016,"sergio_rodriguez",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/200771","https://stats.nba.com/media/players/230x185/200771.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200771.png","https://stats.nba.com/media/players/700/200771.png","Rodriguez"," Sergio"
"3333",FALSE,FALSE,"Lou Roe",691,1,NA,"Roe, Lou",1995,1996,"lou_roe",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/691","https://stats.nba.com/media/players/230x185/691.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/691.png","https://stats.nba.com/media/players/700/691.png","Roe"," Lou"
"3334",FALSE,FALSE,"Carlos Rogers",435,7,NA,"Rogers, Carlos",1994,2001,"carlos_rogers",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/435","https://stats.nba.com/media/players/230x185/435.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/435.png","https://stats.nba.com/media/players/700/435.png","Rogers"," Carlos"
"3335",FALSE,FALSE,"Johnny Rogers",78007,1,NA,"Rogers, Johnny",1986,1987,"HISTADD_johnny_rogers",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/78007","https://stats.nba.com/media/players/230x185/78007.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/78007.png","https://stats.nba.com/media/players/700/78007.png","Rogers"," Johnny"
"3336",FALSE,FALSE,"Marshall Rogers",78008,0,NA,"Rogers, Marshall",1976,1976,"HISTADD_marshall_rogers",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/78008","https://stats.nba.com/media/players/230x185/78008.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/78008.png","https://stats.nba.com/media/players/700/78008.png","Rogers"," Marshall"
"3337",FALSE,FALSE,"Rodney Rogers",915,11,NA,"Rogers, Rodney",1993,2004,"rodney_rogers",NA,NA,NA,NA,NA,TRUE,"https://stats.nba.com/player/915","https://stats.nba.com/media/players/230x185/915.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/915.png","https://stats.nba.com/media/players/700/915.png","Rogers"," Rodney"
